time                     Te                       dTe                       Ti                       dTi                       ne                       dne                       q                        B0                        flux-Te                  flux-Ti                  flux-ne                  cp-flux-Te               cp-flux-Ti               cp-flux-ne
2.261200000000000099e+00 8.384372346625818864e+02 -3.454477091999287495e+03 6.378861532230197326e+02 -2.169127262905962652e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.612627920648194824e+00 -2.476047272727269988e+00 3.991218767618849961e+04 6.972472856575540209e+04 1.750011729644514918e+19 1.417258284325526329e+06 2.209464350293979980e+06 1.350275403664596140e+21
2.271199999999999886e+00 8.447775700048525778e+02 -3.483333306246996472e+03 6.422810904765869964e+02 -2.188986384162054492e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.612211984233176132e+00 -2.476047272727269988e+00 4.000691366177899909e+04 6.976867215378959372e+04 1.720104136040195072e+19 1.421642094746865332e+06 2.211167857737109531e+06 1.350418186979599712e+21
2.281200000000000117e+00 8.508106271504084361e+02 -3.510841861624608555e+03 6.463258333102928646e+02 -2.207268101689244759e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.611814672303749862e+00 -2.476047272727269988e+00 4.014340146537830151e+04 6.990972036548680626e+04 1.700788488485236941e+19 1.427019286454344401e+06 2.214948073607132770e+06 1.350555411268719608e+21
2.291199999999999903e+00 8.564553580538652113e+02 -3.536699264435948862e+03 6.499461070685438244e+02 -2.223605993027819750e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.611445970822702911e+00 -2.476047272727269988e+00 4.031018390280359745e+04 7.011026943314319942e+04 1.680746127845961933e+19 1.433046292913474375e+06 2.219996562590196729e+06 1.350684039689030599e+21
2.301200000000000134e+00 8.615755662588202313e+02 -3.560359028681199561e+03 6.530814997336802890e+02 -2.237716815781845526e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.611115458333968853e+00 -2.476047272727269988e+00 4.053529066348430206e+04 7.036254303911280294e+04 1.667880871763474022e+19 1.440401319878905313e+06 2.226143414272278547e+06 1.350802021010886099e+21
2.311199999999999921e+00 8.661366072976835540e+02 -3.581621519886089118e+03 6.557562172678697152e+02 -2.249707322192571610e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.610824628307612194e+00 -2.476047272727269988e+00 4.077269660235109768e+04 7.061405221631319728e+04 1.649767420415303066e+19 1.447866077101427363e+06 2.232238729836923536e+06 1.350907204237289325e+21
2.321200000000000152e+00 8.702654613389851193e+02 -3.600925151098128481e+03 6.578972455642301611e+02 -2.259277460279331081e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.610577148791584978e+00 -2.476047272727269988e+00 4.094606737576240266e+04 7.091853865951779881e+04 1.631962334769221018e+19 1.453504641998306382e+06 2.239421883159321733e+06 1.350999301976459575e+21
2.331199999999999939e+00 8.738101976892079392e+02 -3.617772215765836791e+03 6.593243870951231429e+02 -2.265585589370744401e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.610371134412925453e+00 -2.476047272727269988e+00 4.117931828158980352e+04 7.135446089179870614e+04 1.632750558235324006e+19 1.460505601617377484e+06 2.249376420253802557e+06 1.351078878462635147e+21
2.341200000000000170e+00 8.765128565202978734e+02 -3.631172807779575578e+03 6.598663616299293153e+02 -2.267843749460275831e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.610219684598794831e+00 -2.476047272727269988e+00 4.152256531180060119e+04 7.192396148164260376e+04 1.633647720580240998e+19 1.470050002779145492e+06 2.262126123383715749e+06 1.351141927823417016e+21
2.351199999999999957e+00 8.782981338744896220e+02 -3.640738733822488484e+03 6.596003461800384002e+02 -2.266352730958549728e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.610140226214525683e+00 -2.476047272727269988e+00 4.189033617524870351e+04 7.248239270269429835e+04 1.636314096777781043e+19 1.479858210246675415e+06 2.274527210197917651e+06 1.351183192332051939e+21
2.361200000000000188e+00 8.791870934648537741e+02 -3.646427872042126637e+03 6.587183026349679267e+02 -2.261970680838987391e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.610132910494356029e+00 -2.476047272727269988e+00 4.224635603922440350e+04 7.294927159505180316e+04 1.624236381122157978e+19 1.489010369074928341e+06 2.284857498914584983e+06 1.351202591091895566e+21
2.371199999999999974e+00 8.793390929764490238e+02 -3.648748352385393446e+03 6.574586393403799320e+02 -2.255804452664027394e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.610189343681382113e+00 -2.476047272727269988e+00 4.253360784424620215e+04 7.328051106586460082e+04 1.606351298433093018e+19 1.496115775219460484e+06 2.292189306063128635e+06 1.351202638418745229e+21
2.381200000000000205e+00 8.789626793085651570e+02 -3.648478675568439485e+03 6.560166037076737666e+02 -2.248779188605283707e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.610293454453384232e+00 -2.476047272727269988e+00 4.273248713892490196e+04 7.348987794212509471e+04 1.603832894149508915e+19 1.500780524198862258e+06 2.296834611757999752e+06 1.351188145226957455e+21
2.391199999999999992e+00 8.782374683993700728e+02 -3.646364810744266833e+03 6.545868549712572531e+02 -2.241795091808964571e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.610428628699634324e+00 -2.476047272727269988e+00 4.285618379242120136e+04 7.357245497235580115e+04 1.604141612148499046e+19 1.503434618308740435e+06 2.298714104714086745e+06 1.351164080127520276e+21
2.401199999999999779e+00 8.773598512017745179e+02 -3.643231683483662891e+03 6.534146189911028841e+02 -2.235977214639893646e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.610579100945361830e+00 -2.476047272727269988e+00 4.289837791626920080e+04 7.348986050472360512e+04 1.596714849423254938e+19 1.503994271670487477e+06 2.297042253005141858e+06 1.351135153328763961e+21
2.411200000000000010e+00 8.765924890568927594e+02 -3.640161109222894993e+03 6.527220631600328034e+02 -2.232371480096777759e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.610726213511955329e+00 -2.476047272727269988e+00 4.283139458187139826e+04 7.324416684651910327e+04 1.589910016664341914e+19 1.501848630329767242e+06 2.291878278355408460e+06 1.351106958100738867e+21
2.421199999999999797e+00 8.760344805672729080e+02 -3.637637889659334633e+03 6.524876549680985818e+02 -2.230951248221515925e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.610849539938665309e+00 -2.476047272727269988e+00 4.273713081990300270e+04 7.297672832788170490e+04 1.593707750918486016e+19 1.499159485584663460e+06 2.286220185557076707e+06 1.351085634814207853e+21
