,te_value,te_ddrho,ti_value,ti_ddrho,ft,te_transp_flux,ti_transp_flux
45,1081.8623140520522,-931.9483632947715,2847.615417000119,-516.0532499159189,0,13414.031227315127,7427.830427059918
46,1081.8623140520522,-931.9483632947715,2847.615417000119,-774.0798748738807,0,13414.031227315127,11141.74564058991
47,1081.8623140520522,-931.9483632947715,2847.615417000119,-1032.1064998319007,0,13414.031227315127,14855.660854120742
48,1081.8623140520522,-931.9483632947715,2847.615417000119,-1290.1331247898624,0,13414.031227315127,18569.576067650734
49,1081.8623140520522,-931.9483632947715,2847.6154170001196,-1548.1597497478242,0,13414.031227315127,22283.491281180723
50,1081.8623140520522,-1242.5978177263355,949.20513900004,-516.0532499159463,0,23847.166626336988,9903.77390274687
51,1081.8623140520522,-1242.5978177263355,949.2051390000402,-774.079874873908,0,23847.166626336988,14855.66085412009
52,1081.8623140520522,-1242.5978177263355,949.2051390000399,-1032.1064998318843,0,23847.166626336988,19807.547805493585
53,1081.8623140520522,-1242.5978177263355,949.20513900004,-1290.1331247898606,0,23847.166626336988,24759.434756867082
54,1081.8623140520522,-1242.5978177263355,949.2051390000404,-1548.1597497478224,0,23847.166626336988,29711.321708240295
55,1081.8623140520522,-1242.5978177263355,1423.8077085000596,-516.0532499159503,0,23847.166626336988,9903.773902746952
56,1081.8623140520522,-1242.5978177263355,1423.8077085000598,-774.0798748739121,0,23847.166626336988,14855.660854120164
57,1081.8623140520522,-1242.5978177263355,1423.80770850006,-1032.1064998318739,0,23847.166626336988,19807.547805493385
58,1081.8623140520522,-1242.5978177263355,1423.80770850006,-1290.1331247898647,0,23847.166626336988,24759.434756867162
59,1081.8623140520522,-1242.5978177263355,1423.80770850006,-1548.1597497478265,0,23847.166626336988,29711.32170824037
60,1081.8623140520522,-1242.5978177263355,1898.4102780000794,-516.0532499159399,0,23847.166626336988,9903.773902746749
61,1081.8623140520522,-1242.5978177263355,1898.4102780000794,-774.0798748739016,0,23847.166626336988,14855.660854119968
62,1081.8623140520522,-1242.5978177263355,1898.41027800008,-1032.1064998318925,0,23847.166626336988,19807.54780549374
63,1081.8623140520522,-1242.5978177263355,1898.41027800008,-1290.1331247898543,0,23847.166626336988,24759.43475686696
64,1081.8623140520522,-1242.5978177263355,1898.4102780000803,-1548.159749747816,0,23847.166626336988,29711.32170824018
65,1081.8623140520522,-1242.5978177263355,2373.0128475000993,-516.0532499159001,0,23847.166626336988,9903.773902745983
66,1081.8623140520522,-1242.5978177263355,2373.0128475000993,-774.0798748739203,0,23847.166626336988,14855.660854120324
67,1081.8623140520522,-1242.5978177263355,2373.0128475000993,-1032.106499831882,0,23847.166626336988,19807.54780549354
68,1081.8623140520522,-1242.5978177263355,2373.0128475000993,-1290.133124789873,0,23847.166626336988,24759.434756867315
69,1081.8623140520522,-1242.5978177263355,2373.0128475000997,-1548.1597497478929,0,23847.166626336988,29711.321708241652
70,1081.8623140520522,-1242.5978177263355,2847.615417000119,-516.0532499159189,0,23847.166626336988,9903.773902746347
71,1081.8623140520522,-1242.5978177263355,2847.615417000119,-774.0798748738807,0,23847.166626336988,14855.660854119566
72,1081.8623140520522,-1242.5978177263355,2847.615417000119,-1032.1064998319007,0,23847.166626336988,19807.547805493905
73,1081.8623140520522,-1242.5978177263355,2847.615417000119,-1290.1331247898624,0,23847.166626336988,24759.43475686712
74,1081.8623140520522,-1242.5978177263355,2847.6154170001196,-1548.1597497478242,0,23847.166626336988,29711.321708240328
75,1081.8623140520524,-1553.2472721579288,949.20513900004,-516.0532499159463,0,37261.197853652,12379.717378433665
76,1081.8623140520524,-1553.2472721579288,949.2051390000402,-774.079874873908,0,37261.197853652,18569.576067650225
77,1081.8623140520524,-1553.2472721579288,949.2051390000399,-1032.1064998318843,0,37261.197853652,24759.434756867136
78,1081.8623140520524,-1553.2472721579288,949.20513900004,-1290.1331247898606,0,37261.197853652,30949.29344608404
79,1081.8623140520524,-1553.2472721579288,949.2051390000404,-1548.1597497478224,0,37261.197853652,37139.152135300596
80,1081.8623140520524,-1553.2472721579288,1423.8077085000596,-516.0532499159503,0,37261.197853652,12379.717378433763
81,1081.8623140520524,-1553.2472721579288,1423.8077085000598,-774.0798748739121,0,37261.197853652,18569.57606765032
82,1081.8623140520524,-1553.2472721579288,1423.80770850006,-1032.1064998318739,0,37261.197853652,24759.43475686688
83,1081.8623140520524,-1553.2472721579288,1423.80770850006,-1290.1331247898647,0,37261.197853652,30949.29344608414
84,1081.8623140520524,-1553.2472721579288,1423.80770850006,-1548.1597497478265,0,37261.197853652,37139.1521353007
85,1081.8623140520524,-1553.2472721579288,1898.4102780000794,-516.0532499159399,0,37261.197853652,12379.717378433512
86,1081.8623140520524,-1553.2472721579288,1898.4102780000794,-774.0798748739016,0,37261.197853652,18569.576067650072
87,1081.8623140520524,-1553.2472721579288,1898.41027800008,-1032.1064998318925,0,37261.197853652,24759.43475686733
88,1081.8623140520524,-1553.2472721579288,1898.41027800008,-1290.1331247898543,0,37261.197853652,30949.29344608389
89,1081.8623140520524,-1553.2472721579288,1898.4102780000803,-1548.159749747816,0,37261.197853652,37139.15213530045
90,1081.8623140520524,-1553.2472721579288,2373.0128475000993,-516.0532499159001,0,37261.197853652,12379.717378432555
91,1081.8623140520524,-1553.2472721579288,2373.0128475000993,-774.0798748739203,0,37261.197853652,18569.57606765052
92,1081.8623140520524,-1553.2472721579288,2373.0128475000993,-1032.106499831882,0,37261.197853652,24759.434756867075
93,1081.8623140520524,-1553.2472721579288,2373.0128475000993,-1290.133124789873,0,37261.197853652,30949.29344608433
94,1081.8623140520524,-1553.2472721579288,2373.0128475000997,-1548.1597497478929,0,37261.197853652,37139.15213530229
