,Unnamed: 0,index,name,te_value,ti_value,te_ddrho,ti_ddrho,ti_transp_flux,ti_transp_flux_std,ti_transp_flux_stem,ti_transp_flux_acn,ft,ti_transp_flux_cov,weight,Unnamed: 0,index,name,te_value,ti_value,te_ddrho,ti_ddrho,te_transp_flux,te_transp_flux_std,te_transp_flux_stem,ti_transp_flux,ti_transp_flux_std,ti_transp_flux_stem,ti_transp_flux_acn,te_transp_flux_acn,ft,te_transp_flux_cov,weight
50,50,,,2875.6013198730093,2470.995131288068,-2654.5832793553805,-2018.9946679443167,1222.812525926067,277.43319395829553,43.866039572173946,40.0,0.0,0.226881216929135,0.2438652644413961,50,,,2875.6013198730093,2470.995131288068,-2654.5832793553805,-2018.9946679443167,3779.950967570941,718.1191743211226,131.11002358422115,1222.812525926067,277.43319395829553,43.866039572173946,40.0,30.0,0.0,0.18998108189286855,0.2438652644413961
51,51,,,2875.6013198730093,2470.995131288068,-1626.4675961489745,-4571.471074284643,142.51464334880228,47.773304767332576,7.202096677660865,44.0,0.0,0.3352168145304773,0.1524157902758726,51,,,2875.6013198730093,2470.995131288068,-1626.4675961489745,-4571.471074284643,466.6749576089155,120.186471431676,19.75853419117179,142.51464334880228,47.773304767332576,7.202096677660865,44.0,37.0,0.0,0.25753786328598127,0.1524157902758726
52,52,,,2875.6013198730093,2470.995131288068,-1626.4675961489745,-3295.232871114479,116.40622483395936,29.980150640881416,6.251293544226224,23.0,0.0,0.2575476585006068,0.2438652644413961,52,,,2875.6013198730093,2470.995131288068,-1626.4675961489745,-3295.232871114479,450.2264046598577,98.30885252469992,31.087988813564635,116.40622483395936,29.980150640881416,6.251293544226224,23.0,10.0,0.0,0.218354258007083,0.2438652644413961
53,53,,,2875.6013198730093,2470.995131288068,-1626.4675961489745,-2018.9946679443167,68.96558505123079,19.678316335610678,2.966617808688272,44.0,0.0,0.28533530631245607,0.1524157902758726,53,,,2875.6013198730093,2470.995131288068,-1626.4675961489745,-2018.9946679443167,425.4951341011924,104.19652617423156,39.382585104835584,68.96558505123079,19.678316335610678,2.966617808688272,44.0,7.0,0.0,0.24488300293805773,0.1524157902758726
54,54,,,3989.316922093033,1091.3174147924924,-3682.698962561785,-4571.471074284643,11682.865481237686,4226.995183610281,660.1457393094367,41.0,0.0,0.36181150852063665,0.09525986892242039,54,,,3989.316922093033,1091.3174147924924,-3682.698962561785,-4571.471074284643,31309.27973282568,10432.964524788087,1629.355317486529,11682.865481237686,4226.995183610281,660.1457393094367,41.0,41.0,0.0,0.33322275740025487,0.09525986892242039
55,55,,,3989.316922093033,1091.3174147924924,-3682.698962561785,-3295.232871114479,80689.41142489994,33227.93679691522,4953.3283619979375,45.0,0.0,0.41180046068177684,0.1524157902758726,55,,,3989.316922093033,1091.3174147924924,-3682.698962561785,-3295.232871114479,225746.66146438968,91554.61372803102,13648.155996640851,80689.41142489994,33227.93679691522,4953.3283619979375,45.0,45.0,0.0,0.4055635336271552,0.1524157902758726
56,56,,,3989.316922093033,1091.3174147924924,-3682.698962561785,-2018.9946679443167,73806.83562068571,26120.62791063699,3937.8328212758097,44.0,0.0,0.3539052675944314,0.09525986892242039,56,,,3989.316922093033,1091.3174147924924,-3682.698962561785,-2018.9946679443167,217280.8976422526,81494.63999271879,12148.503655039478,73806.83562068571,26120.62791063699,3937.8328212758097,44.0,45.0,0.0,0.37506582896623347,0.09525986892242039
57,57,,,3989.316922093033,1091.3174147924924,-2654.5832793553805,-4571.471074284643,529.1308427506199,136.97131198049573,22.51794497947965,37.0,0.0,0.25886094877491483,0.1524157902758726,57,,,3989.316922093033,1091.3174147924924,-2654.5832793553805,-4571.471074284643,871.2450498251004,271.5796807387676,43.48755288767384,529.1308427506199,136.97131198049573,22.51794497947965,37.0,39.0,0.0,0.3117144605794734,0.1524157902758726
58,58,,,3989.316922093033,1091.3174147924924,-2654.5832793553805,-3295.232871114479,1108.6869236460975,160.0486486472165,25.628294626877835,39.0,0.0,0.14435874116821948,0.2438652644413961,58,,,3989.316922093033,1091.3174147924924,-2654.5832793553805,-3295.232871114479,2220.984353951724,391.0539087892281,61.83105198428495,1108.6869236460975,160.0486486472165,25.628294626877835,39.0,40.0,0.0,0.17607233841762046,0.2438652644413961
59,59,,,3989.316922093033,1091.3174147924924,-2654.5832793553805,-2018.9946679443167,1349.08175595252,72.8066978187882,11.511749701149188,40.0,0.0,0.053967594993813386,0.1524157902758726,59,,,3989.316922093033,1091.3174147924924,-2654.5832793553805,-2018.9946679443167,3262.562941197601,152.38265671607712,24.400753491859792,1349.08175595252,72.8066978187882,11.511749701149188,40.0,39.0,0.0,0.04670642665368517,0.1524157902758726
60,60,,,3989.316922093033,1091.3174147924924,-1626.4675961489745,-4571.471074284643,153.42592286771924,64.64959764312071,11.25405041619346,33.0,0.0,0.4213733666041579,0.09525986892242039,60,,,3989.316922093033,1091.3174147924924,-1626.4675961489745,-4571.471074284643,127.49701318709435,68.66903028968231,11.95374382957871,153.42592286771924,64.64959764312071,11.25405041619346,33.0,33.0,0.0,0.538593246799551,0.09525986892242039
