Profile: 0/IDA/Te Time: @3.999540 Scale: 1000.00
rho toroidal     Data        Lower        Upper
  0.8917       6.3328       1.9994       6.3390
  0.9038       6.1135       1.9191       6.1177
  0.9152       5.8110       1.7413       5.8138
  0.9263       5.4141       1.8545       5.4162
  0.9396       4.9198       2.0085       4.9214
  0.9549       4.3383       1.9794       4.3394
  0.9721       3.6885       1.7144       3.6894
  0.9892       3.0027       1.2912       3.0034
  1.0000       2.3366      0.84486       2.3372
  1.0000       1.7592      0.34907       1.7596
  1.0000       1.3213       0.0000       1.3216
  1.0000       1.0150       0.0000       1.0152
  1.0000      0.81417       0.0000      0.81429
  1.0000      0.69522       0.0000      0.69532
  1.0000      0.63023       0.0000      0.63031
  1.0000      0.59485       0.0000      0.59492
  1.0000      0.57323       0.0000      0.57329
  1.0000      0.55624       0.0000      0.55631
  1.0000      0.53941       0.0000      0.53949
  1.0000      0.51900       0.0000      0.51910
  1.0000      0.49311       0.0000      0.49323
  1.0000      0.46218       0.0000      0.46233
  1.0000      0.42706       0.0000      0.42727
  1.0000      0.38875       0.0000      0.38913
  1.0000      0.34839       0.0000      0.35043
  1.0000      0.30717     0.055674      0.31772
  1.0000      0.26626     0.021634      0.27874
  1.0000      0.22677       0.0000      0.24236
  1.0000      0.18977     0.014233      0.22061
  1.0000      0.15615      0.10540      0.31231
  1.0000      0.12644     0.079027      0.32875
  1.0000      0.10083     0.050415      0.26216
  1.0000     0.079244    0.0079244      0.20604
  1.0000     0.061427       0.0000      0.15971
  1.0000     0.047002       0.0000      0.12221
  1.0000     0.035525       0.0000     0.092365
  1.0000     0.026544       0.0000     0.069014
  1.0000     0.019622       0.0000     0.051017
  1.0000     0.014361       0.0000     0.037340
  1.0000     0.010415       0.0000     0.027079
  1.0000    0.0074897       0.0000     0.019473
  1.0000    0.0053450       0.0000     0.013897
  1.0000    0.0037882       0.0000    0.0098493
  1.0000    0.0026685       0.0000    0.0069380
  1.0000    0.0018696       0.0000    0.0048611
  1.0000    0.0013040       0.0000    0.0033905
  1.0000   0.00090601       0.0000    0.0023556
  1.0000   0.00062754       0.0000    0.0016316
  1.0000   0.00043367       0.0000    0.0011275
  1.0000   0.00029923       0.0000   0.00077800
  1.0000   0.00020631       0.0000   0.00053641
